poem	text	lemmatized_text
abraham mateo_esta cuarentena.txt	"No, no, no, no, no, no
No, no, no, no, no, no
Te estoy echando de meno'
Me está costando no verte
Lo hago pa' protegerte
Tenemos que ser fuerte'
Esta cuarentena
Se me está haciendo una condena
No tenerte me envenena, na na
Cuando todo esto pase
Iré a besarte bajo la luna llena
A cantarte lo' poema
Que te escribí esta cuarentena, na na
Esta cuarentena, na na
Eh, na na na
Dando vuelta' y vuelta' en el colchón
Viendo nuestra serie en la televisión
No es lo mismo
Vivir sin ti no es lo mismo
Dime que es un espejismo
Que puedo verte ahora mismo (no, no)
Yo no soy científico
Pero por amor yo inventaré una solución
Que acabe con esta locura
Yo por ti fabrico la cura
Pa' acabar con esta tortura
No puedo con esta amargura
Yo te juro que
Esta cuarentena
Se me está haciendo una condena
No tenerte me envenena, na na
Cuando todo esto pase
Iré a besarte bajo la luna llena
A cantarte lo' poema
Que te escribí esta cuarentena, na na
Esta cuarentena, na na
Eh, na na na
Cuídate, bebé
Y guárdame to' los besito' que tú me debe'
Sé que hace tiempo que no me ve'
Pero ya voy posteando un TBT
Pa' que sepas que de ti no me olvidé, yeah
Cuídate, bebé
Y guárdame to' los besito' que tú me debe'
Sé que hace tiempo que no me ve'
Pero ya voy posteando un TBT
Pa' que sepas que de ti no me olvidé, yeah (uh)
Esta cuarentena
Se me está haciendo una condena
No tenerte me envenena, na na
Cuando todo esto pase
Iré a besarte bajo la luna llena
A cantarte lo' poema
Que te escribí esta cuarentena, na na
Esta cuarentena, na na
Eh, na na na
Yo' (uh uh uh)
Desde Cádiz para el mundo
Yeah, eh eh eh
Abraham Mateo-eo
"	"no , no , no , no , no , no 
 no , no , no , no , no , no 
 tú estar echar de meno ' 
 yo estar costar no ver tú 
 él hacer pa ' proteger tú 
 tener que ser fuerte ' 
 este cuarentena 
 él yo estar hacer uno condena 
 no tener tú yo envenenar , na na 
 cuando todo este pasar 
 ir a besar tú bajo el luna lleno 
 a cantar tú él ' poema 
 que tú escribir este cuarentena , na na 
 este cuarentena , na na 
 eh , na na na 
 dar vuelta ' y vuelta ' en el colchón 
 ver nuestro serie en el televisión 
 no ser él mismo 
 vivir sin tú no ser él mismo 
 dimar que ser uno espejismo 
 Que poder ver tú ahora mismo ( no , no ) 
 yo no ser científico 
 pero por amor yo inventar uno solución 
 que acabar con este locura 
 yo por tú fabricar el cura 
 pa ' acabar con este tortura 
 no poder con este amargura 
 yo tú jurar que 
 este cuarentena 
 él yo estar hacer uno condena 
 no tener tú yo envenenar , na na 
 cuando todo este pasar 
 ir a besar tú bajo el luna lleno 
 a cantar tú él ' poema 
 que tú escribir este cuarentena , na na 
 este cuarentena , na na 
 Eh , na na na 
 cuidar tú , bebé 
 Y guardar yo to ' el besito ' que tú yo deber ' 
 sar que hacer tiempo que no yo ver ' 
 Pero ya ir postear uno TBT 
 Pa ' que saber que de tú no yo olvidar , yeah 
 cuidar tú , bebé 
 Y guardar yo to ' el besito ' que tú yo deber ' 
 sar que hacer tiempo que no yo ver ' 
 pero ya ir postear uno TBT 
 Pa ' que saber que de tú no yo olvidar , yeah ( uh ) 
 este cuarentena 
 él yo estar hacer uno condena 
 no tener tú yo envenenar , na na 
 cuando todo este pasar 
 ir a besar tú bajo el luna lleno 
 a cantar tú él ' poema 
 que tú escribir este cuarentena , na na 
 este cuarentena , na na 
 eh , na na na 
 yo ' ( uh uh uh ) 
 desde Cádiz para el mundo 
 Yeah , eh eh eh 
 Abraham Mateo-eo 
"
relatoscortoss_sin título.txt	"Cielo azul de tus ojos
libertad de mi encierro
entre tus brazos resisto
tiempo sin tiempo
amor y cerveza
que se acabe el mundo
contigo poco importa si muero."	"cielo azul de tu ojo 
 libertad de mi encierro 
 entre tu brazo resistir 
 tiempo sin tiempo 
 amor y cerveza 
 que él acabar el mundo 
 tú poco importar si morir ."
kumdeamor_sin título.txt	"Un dulce soplo
me susurra al oído
mi ángel me alienta
la esencia de sus alas
es de un néctar sagrado…"	"uno dulce soplo 
 yo susurrar al oído 
 mi ángel yo alentar 
 el esencia de su ala 
 ser de uno néctar sagrado …"
raquel sofía_amor en cuarentena.txt	"Solos tú y yo
Que vamos a hacer
Dar un viaje en carrusel
O en aviones de papel
Mi protección
De un mundo al revéz
Es besarte muy francés
Despertarme y que tú estés
Y cuando me entre el miedo esta noche
Dime
Si este mundo ya se va a acabar
Solo dime
Que el amor nos va a salvar
Dime
Que mañana siempre vas a estar aquí
Vamos a jugar
A que nada esta mal
Podemos ser piratas, teléfono con latas
Podemos acampar en la cama
Estamos bien
Mejor que lo que imaginé
Reyes de nuestra casa, contigo el tiempo pasa
Sin arrastrar los pies
Y cuando me entre el miedo esta noche
Dime
Si este mundo ya se va a acabar
Solo dime
Que el amor nos va a salvar
Dime
Que mañana siempre vas a estar aquí
Dime
Que tu abrazo puede rebotar todo mal
Y que el amor nos va a salvar
Dime (dime)
Que mañana siempre vas a estar aquí
"	"solo tú y yo 
 que ir a hacer 
 dar uno viaje en carrusel 
 O en avión de papel 
 mi protección 
 De uno mundo al revéz 
 ser besar tú mucho francés 
 despertar yo y que tú estar 
 y cuando yo entrar el miedo este noche 
 decir yo 
 Si este mundo ya él ir a acabar 
 solo decir yo 
 Que el amor yo ir a salvar 
 dimar 
 Que mañana siempre ir a estar aquí 
 ir a jugar 
 a que nada estar mal 
 poder ser pirata , teléfono con lata 
 poder acampar en el cama 
 estar bien 
 mejor que él que imaginar 
 Reyes de nuestro casa , tú el tiempo pasar 
 sin arrastrar el pie 
 y cuando yo entrar el miedo este noche 
 dimar 
 Si este mundo ya él ir a acabar 
 solo decir yo 
 Que el amor yo ir a salvar 
 dimar 
 Que mañana siempre ir a estar aquí 
 dimar 
 Que tu abrazo poder rebotar todo mal 
 Y que el amor yo ir a salvar 
 dimar ( dimar ) 
 que mañana siempre ir a estar aquí 
"
joe crepusculo_cuarentena sin ti.txt	"Las calles hoy están desiertas
Y yo por dentro también desierto
Ayer me pelee en el súper por un rollo de papel
Y ahora estoy sentado sin comer

Echo de menos tus palabras
Tu forma de reir
Ya no soporto esta cuarenta sin ti

Echo de menos tus palabras
Tu forma de reir
Ya no soporto esta cuarentena sin ti

Los animales en las calles
Juegan con cajas de cartón
Y puede que sin nosotros todo sea mejor
Pero me cuesta pensar que ya se acabo

Echo de menos tus palabras
Tu forma de reir
Ya lo soporto esta cuarentena sin ti

Echo de menos tus palabras
Tu forma de reir
Ya no soporto esta cuarentena sin ti
"	"el calle hoy estar desierto 
 y yo por dentro también desiertir 
 ayer yo pelee en el súper por uno rollo de papel 
 y ahora estar sentado sin comer 

 echar de meno tu palabra 
 tu forma de reir 
 ya no soportar este cuarenta sin tú 

 echar de meno tu palabra 
 tu forma de reir 
 ya no soportar este cuarentena sin tú 

 el animal en el calle 
 jugar con caja de cartón 
 y poder que sin yo todo ser mejor 
 pero yo costar pensar que ya él acabo 

 echar de meno tu palabra 
 tu forma de reir 
 ya él soportar este cuarentena sin tú 

 echar de meno tu palabra 
 tu forma de reir 
 ya no soportar este cuarentena sin tú 
"
jota-santatecla_distancias.txt	"La noche, un espejo paciente 

que late con el don de los aplausos. 

No importan estas maletas vacías, 

sólo restablecer lo que nos une. 

La distancia se parece al columpio 

que disfraza la humedad de la hierba; 

contempla hasta el remordimiento 

esa manía de dormir 

antes que el latido de las paredes. 

El pálpito de los recreos 

es un eco de toboganes, 

huellas que buscan nombres 

en otros nombres que no son los nuestros. 

Pienso en lo único breve: 

este hecho, hablar del agua, 

las gotas que ocupamos. 

Escribo otra distancia, 

pronuncio el testigo amarillo 

de los parques. Vida en silencio, 

alguna vez memoria. 

Dos flores apiladas. 

Una corriente anuncia 

la vuelta de las horas. 
"	"el noche , uno espejo paciente 

 que latir con el don de el aplauso . 

 no importar este maleta vacío , 

 sólo restablecer él que yo unir . 

 el distancia él parecer al columpio 

 que disfrazar el humedad de el hierba ; 

 contemplar hasta el remordimiento 

 ese manía de dormir 

 antes que el latido de el pared . 

 el pálpito de el recreo 

 ser uno eco de tobogán , 

 huella que buscar nombre 

 en otro nombre que no ser el nuestro . 

 pensar en él único breve : 

 este hecho , hablar del agua , 

 el gota que ocupar . 

 escribir otro distancia , 

 pronunciar el testigo amarillo 

 de el parque . vida en silencio , 

 alguno vez memoria . 

 dos flor apilada . 

 uno corriente anunciar 

 el vuelta de el hora . 
"
nibal_cuando amanezca.txt	"Ya perdí la cuenta de los días sin verte
Mil abrazos y mil besos
Luego voy a reponerte
Estoy aquí
Pensándote en ti
Cada vez más juntos aunque no esté ahí
Pronto nos vemos
Cuando amanezca
Sé que eso hará
Que el amor crezca
Pronto nos vemos
Ma, ten paciencia
Yo también quiero
Que estemos cerca
Babylon girl, yeah
No hay ni gripe ni Corona que me pare
Al terminar todo esto voy a buscarte
Porque están por explotar todas estas ganas que te tengo
El planeta respirando un momento
Vamos dale ay,
Dale un aire
Luego encontrarnos en Buenos Aires lo prometo
Vamos a darle aire, dale aire
Y luego todo esto será perfecto (así como suena, yeah)
Le estoy cogiendo gusto a bellaquear por FaceTime (woah)
Te vi subiendo fotos con mi jacket puesta (sí)
Aunque esté mal, no tengo pa pagar la renta
Estoy perreando reggaetón de los 90's (yeah)
Esperando que esto pase
En el case, viendo si tuiteas alguna frase
Mami, ¿qué haces? (Oh)
Yo tomándome los guaros y me pase
Voy a llamarte por video pa que lo caches (yo)
Pronto nos vemos (yeah yeah)
Cuando amanezca (cuando amanezca)
Sé que esto hará, ah
Que las ganas crezcan
Pronto nos vemos
Ma, ten paciencia
Yo también quiero (yo también)
Que estemos cerca
Las calles andan vacías
Como que si el mundo se acabara
Y esta ganas, ¿quién me las repara?
Los días son largos, las noches eternas (eternas)
Ayer soñé que te enredabas entre mis piernas
Cuando se acabe esto, olvídate del resto
Nos vamos pa la playa y nos metemos con la presto
Es que lo material no vale nada, aprendí de esto (no vale na)
Lo más valioso ahora es un bonito gesto
Bebé, no sabes lo que tanto imaginaba
Alucinaba con que arriba te meneabas
Y recordando yo pegadito a tu cara
Y aunque bailáramos salsa, como quiera te perreaba
Porque así soy yo, underground soy yo
Aunque esta cuarentena todo me jodió
Pero seguimos activos, gracias a Dios vivo
Manda un videíto de esos seductivos (woah, woah)
Pronto nos vemos (oh)
Cuando amanezca (cuando amanezca)
Sé que eso hará (sé que esto hará)
Que el amor crezca (que el amor crezca)
Pronto nos vemos
Ma, ten paciencia (mantén paciencia)
Yo también quiero
Que estemos cerca
"	"ya perder el cuenta de el día sin ver tú 
 mil abrazo y mil beso 
 luego ir a reponer tú 
 estar aquí 
 pensar tú en tú 
 cada vez más junto aunque no estar ahí 
 pronto yo ver 
 cuando amanecer 
 saber que ese hacer 
 que el amor crecer 
 pronto yo ver 
 ma , tener paciencia 
 yo también querer 
 Que estar cerca 
 Babylon girl , yeah 
 no haber ni gripe ni Corona que yo parir 
 al terminar todo este ir a buscar tú 
 porque estar por explotar todo este gana que tú tener 
 el planeta respirar uno momento 
 vamos da él ay , 
 da él uno aire 
 luego encontrar yo en Buenos Aires él prometer 
 ir a dar él aire , da él aire 
 y luego todo este ser perfecto ( así como sonar , yeah ) 
 él estar coger gusto a bellaquear por FaceTime ( woah ) 
 tú ver subir foto con mi jacket puesto ( sí ) 
 aunque estar mal , no tener pa pagar el renta 
 estar perrear reggaetón de el 90's ( yeah ) 
 esperar que este pasar 
 en el case , ver si tuitear alguno frase 
 Mami , ¿ qué hacer ? ( Oh ) 
 yo tomar yo el guaro y yo pase 
 ir a llamar tú por video pa que él cachar ( yo ) 
 pronto yo ver ( yeah yeah ) 
 cuando amanecer ( cuando amanecer ) 
 sar que este hacer , ah 
 que el gana crecer 
 pronto yo ver 
 ma , tener paciencia 
 yo también querer ( yo también ) 
 que estar cerca 
 el calle andar vacío 
 como que si el mundo él acabar 
 y este ganas , ¿ quién yo él reparar ? 
 el día ser largo , el noche eterno ( eterno ) 
 ayer soñar que tú enredar entre mi pierna 
 cuando él acabar este , olvidar tú del resto 
 yo ir pa el playa y yo meter con el presto 
 ser que él material no valer nada , aprender de este ( no valer na ) 
 él más valioso ahora ser uno bonito gesto 
 Bebé , no saber él que tanto imaginar 
 alucinar con que arriba tú menear 
 y recordar yo pegadito a tu cara 
 y aunque bailar salsa , como quiera tú perrear 
 Porque así ser yo , underground ser yo 
 Aunque este cuarentena todo yo jodeír 
 pero seguir activo , gracias a Dios vivo 
 mandar uno videíto de ese seductivo ( woah , woah ) 
 pronto yo ver ( oh ) 
 cuando amanecer ( cuando amanecer ) 
 saber que ese hacer ( saber que este hacer ) 
 que el amor crecer ( que el amor crecer ) 
 pronto yo ver 
 Ma , tener paciencia ( mantener  paciencia ) 
 yo también querer 
 Que estar cerca 
"
panchescos_sin título.txt	"Tardes,
De aquellas donde llueve,
Y lo único que deseo es tenerte presente,
Mientras vemos como el cielo desciende."	"tarde , 
 De aquel donde llover , 
 Y él único que desear ser tener tú presente , 
 Mientras ver como el cielo descender ."
iván-parro_sin título.txt	"Solo hay dicha infinita
para quien acechado por la muerte
le echa un pulso y gana.
Para el resto solo queda silencio 
y oscuridad eternas.
Hoy no vence el más fuerte
sino el que mejor sobrevive.
"	"solo haber dicha infinito 
 para quien acechado por el muerte 
 él echar uno pulso y ganar . 
 para el resto solo quedar silencio 
 y oscuridad eterno . 
 hoy no vencer el más fuerte 
 sino el que mejor sobrevivir . 
"
luis álvaro_canción para después de la pandemia.txt	"Primero fueron casos aislados
luego fuimos aislados en casa
nuestra influencia es fatal
el mundo nos copió madrid central
la primavera pasó de largo por El Corte Inglés
y cantar en los balcones fue la tuna al revés
En mi casa
lo que me pude reir
jugando al escondite con las ganas de reir
piensa en positivo
no son calles vacias
son verbenas en negativo
yo disiento de lo de aplaudir
levantas mucho aire y se exparce el covid
yo me quedo en casa
soy muy solidario
sobre todo cuando me lo imponen
y hay multo de por medio
solidario igual que tú
no sé qué me pasa
pero me siento parte
de la decoración de mi casa
"	"primero ser caso aislado 
 luego ir aislado en casa 
 nuestro influencia ser fatal 
 el mundo yo copiar madrid central 
 el primavera pasar de largo por el Corte Inglés 
 y cantar en el balcón ser el tuna al revés 
 en mi casa 
 él que yo poder reir 
 jugar al escondite con el gana de reir 
 pensar en positivo 
 no ser calle vacia 
 ser verbena en negativo 
 yo disentir de él de aplaudir 
 levantar mucho aire y él exparcir el covid 
 yo yo quedar en casa 
 ser mucho solidario 
 sobre todo cuando yo él imponer 
 y haber multo de por medio 
 solidario igual que tú 
 no saber qué yo pasar 
 pero yo sentir parte 
 de el decoración de mi casa 
"
christian flores_fernando TKM.txt	"Fernando yo te quiero
siento cosas por ti real
quiero dormirme acurrucado
entre tus cejas y tu saber estar
y cuando todo esto pase volverás
a desayunar tranquilo en un bar
mucha gente te va a pedir selfies
y aunque se te vea tímido
tú los complacerás
quiero ir al congreso y darte un beso
pero jamás te haría eso
me tomo en serio tus consejos
y están prohibidos los besos
es magnífico dar abrazos
a todo el mundo que se pueda
pero tenemos que entender
que estamos en una situación de riesgo
que no va a durar siempre
hoy no he comido almendras por si acaso
te lo mereces
todo lo bueno que te pase
tú te lo mereces
eres bastante increíble
tú te lo mereces
si un día quieres gritarnos
tú te lo mereces
Fernando, ¿quieres agua?
¿te encuentras bien?
¿alguien te ha preguntado si estás bien?
¿hay algo que podamos hacer?
cógete unas vacaciones
se te quiere, Fer
"	"Fernando yo tú querer 
 sentir cosa por tú real 
 querer dormir yo acurrucado 
 entre tu ceja y tu saber estar 
 y cuando todo este pasar volver 
 a desayunar tranquilo en uno bar 
 mucho gente tú ir a pedir selfi 
 y aunque él tú ver tímido 
 tú él complacer 
 querer ir al congreso y dar tú uno beso 
 pero jamás tú hacer ese 
 yo tomar en serio tu consejo 
 y estar prohibido el beso 
 ser magnífico dar abrazo 
 a todo el mundo que él poder 
 pero tener que entender 
 que estar en uno situación de riesgo 
 que no ir a durar siempre 
 hoy no haber comer almendra por si acaso 
 tú él merecer 
 todo él bueno que tú pasar 
 tú tú él merecer 
 ser bastante increíble 
 tú tú él merecer 
 si uno día querer gritar yo 
 tú tú él merecer 
 Fernando , ¿ querer agua ? 
 ¿ tú encontrar bien ? 
 ¿ alguien tú haber preguntar si estar bien ? 
 ¿ haber algo que poder hacer ? 
 coger tú uno vacación 
 él tú querer , Fer 
"
camela_escúchame.txt	"Escúchame, compréndelo,
 quédate en casa por favor
lava las manos con jabón 
por si me sales al balcón"	"escuchar yo , compréndelo , 
  quedar tú en casa por favor 
 lavar el mano con jabón  
 por si yo salir al balcón"
sara-bueno_sin-titulo1.txt	"Las espinas 
en las manos
de las veces que
creíamos
haber
aprendido.
"	"el espina 
 en el mano 
 de el vez que 
 creer 
 haber 
 aprender . 
"
versosextintos_sin título.txt	"Quizá todo no sea tan estimulante,
quizá todo no sea tan veloz.
Quizá no deba serlo,
quizá aprendamos.
"	"quizá todo no ser tanto estimulante , 
 quizá todo no ser tanto veloz . 
 quizá no deber ser él , 
 quizá aprender . 
"
carlos-calderón-bravo_sin título.txt	"Lluvias, incendios, volcanes
terremotos y tragedias,
enfermedades, pandemias
y políticos sin planes.
una lucha de titanes
para la crisis vencer,
todos juntos atender
este momento presente,
un cambio es inminente
para algún futuro tener."	"lluvia , incendio , volcán 
 terremoto y tragedia , 
 enfermedad , pandemia 
 y político sin plan . 
 uno lucha de titán 
 para el crisis vencer , 
 todo junto atender 
 este momento presente , 
 uno cambio ser inminente 
 para alguno futuro tener ."
joaquín pérez azaústre_repatriación.txt	"Dile a un padre que suba en ese avión
sin mirar atrás.
Que lo importante es él, que piense en él,
y no en el ángel bueno y laborioso
que intentó deslizar sobre el jardín
de las horas felices, con su bruma de espanto.
Dile al padre más fuerte que no es nada la fuerza
de su voz siempre alegre, dile que la custodia
se impone a los minutos y debe decidir
regresar a la vida o inmolarse después.
Dile a un padre que olvide que las manos pequeñas
hoy pudieron subirse en el último vuelo
y afrontar la batalla de las horas del día.
Dile a un padre que rece.
Y que sueñe palabras consulares de amparo
porque no queda tiempo de escribir su novela
de patria potestad.
Dile al padre que un día los ojos verdaderos
de los hombres que escriben su geografía de amor
volverán a encontrarse en un fuego lejano"	"dilar a uno padre que subir en ese avión 
 sin mirar atrás . 
 que él importante ser él , que pensar en él , 
 y no en el ángel bueno y laborioso 
 que intentar deslizar sobre el jardín 
 de el hora feliz , con su bruma de espanto . 
 dilar al padre más fuerte que no ser nada el fuerza 
 de su voz siempre alegre , dilar que el custodia 
 él imponer a el minuto y deber decidir 
 regresar a el vida o inmolar él después . 
 dilar a uno padre que olvidar que el mano pequeño 
 hoy poder subir él en el último vuelo 
 y afrontar el batalla de el hora del día . 
 dilar a uno padre que rezar . 
 y que soñar palabra consular de amparo 
 porque no quedar tiempo de escribir su novela 
 de patria potestad . 
 dilar al padre que uno día el ojo verdadero 
 de el hombre que escribir su geografía de amor 
 volver a encontrar él en uno fuego lejano"
annelischg_sin título.txt	"Se hacen deseables, 
se presionan entre sí, 
tienen una fiesta dentro que estallará en cualquier mirada, 
su textura es la mejor curva que recorre mi lengua, 
tú entrégame tus labios 
y te prometo 
que nos damos vida. 
"	"él hacer deseable , 
 él presionar entre él , 
 tener uno fiesta dentro que estallar en cualquiera mirada , 
 su textura ser el mejor curva que recorrer mi lengua , 
 tú entregar yo tu labio 
 y tú prometer 
 que yo dar vida . 
"
banda ms_es hora de unirnos.txt	"Después de la tempestad
Vuelve a salir el sol
Yo quiero que mi canto
Se escuche por cada rincón
Tenemos una tregua juntos
Entre el mundo tú y yo
El miedo no puede más
Que la fuerza del amor
Es hora de levantarnos
Enfrentar la situación
Por difícil que parezca
Seremos el vencedor
Es hora de unirnos
De juntar la fuerza
Salir adelante
Cruzando fronteras
Es hora de amarnos
Cumpliendo una meta
Todo el mundo hagamos
Una historia nueva
Es hora de levantarnos
Enfrentar la situación
Por difícil que parezca
Seremos el vencedor
Es hora de unirnos
De juntar la fuerza
Salir adelante
Cruzando fronteras
Es hora de amarnos
Cumpliendo una meta
Todo el mundo hagamos
Una historia nueva
Es hora de unirnos
De juntar la fuerza
Salir adelante
Cruzando fronteras
Es hora de amarnos
Cumpliendo una meta
Todo el mundo hagamos
Una historia nueva
"	"después de el tempestad 
 volver a salir el sol 
 yo querer que mi canto 
 él escuchar por cada rincón 
 tener uno tregua junto 
 entre el mundo tú y yo 
 el miedo no poder más 
 Que el fuerza del amor 
 ser hora de levantar yo 
 enfrentar el situación 
 Por difícil que parecer 
 ser el vencedor 
 ser hora de unir yo 
 de juntar el fuerza 
 salir adelante 
 cruzar frontera 
 ser hora de amar yo 
 cumplir uno meta 
 todo el mundo hacer 
 uno historia nuevo 
 ser hora de levantar yo 
 enfrentar el situación 
 Por difícil que parecer 
 ser el vencedor 
 ser hora de unir yo 
 de juntar el fuerza 
 salir adelante 
 cruzar frontera 
 ser hora de amar yo 
 cumplir uno meta 
 todo el mundo hacer 
 uno historia nuevo 
 ser hora de unir yo 
 de juntar el fuerza 
 salir adelante 
 cruzar frontera 
 ser hora de amar yo 
 cumplir uno meta 
 todo el mundo hacer 
 uno historia nuevo 
"
tinterovirtual_sin título.txt	"El miedo es la pandemia, 
El resultado es el individualismo
""Divide y reinarás""."	"el miedo ser el pandemia , 
 el resultado ser el individualismo 
 "" dividir y reinarás "" ."
lucia gil_volveremos a brindar.txt	"Días tristes, nos cuesta mucho estar muy solos
Buscamos mil maneras de vencer la estupidez
Meses grises, es tiempo de escondernos
Tal vez sea la forma de encontrarnos otra vez

Pero son las 8 y has salido a aplaudir a tu ventana
Me dan ganas de llorar
Al vernos desde lejos tan unidos, empujando al mismo sitio
Solo queda un poco más

Volveremos a juntarnos, volveremos a brindar
Un café queda pendiente en nuestro bar
Romperemos ese metro de distancia entre tú y yo
Ya no habrá una pantalla entre los dos

Ahora es tiempo de pensar y ser pacientes
Confiar más en la gente, ayudar a los demás
Mientras tanto otros cuidan a los pacientes
Un puñado de valientes, que hoy tampoco dormirán

Pero son las 8 y has salido a aplaudir a tu ventana
Me dan ganas de llorar
Al vernos desde lejos tan unidos, empujando al mismo sitio
Solo queda un poco más

Volveremos a juntarnos, volveremos a brindar
Un café queda pendiente en nuestro bar
Romperemos ese metro de distancia entre tú y yo
Ya no habrá una pantalla entre los dos

Y después de pasar la cuarentena
Habremos hecho un puente que unirá
Mi puerta al empezar la primavera
Y la tuya, que el verano me traerá

Volveremos a juntarnos, volveremos a brindar
Un café queda pendiente en nuestro bar
Romperemos ese metro de distancia entre tú y yo
Ya no habrá una pantalla entre los dos"	"día triste , yo costar mucho estar mucho solo 
 buscar mil manera de vencer el estupidez 
 mes gris , ser tiempo de esconder yo 
 tal vez ser el forma de encontrar yo otro vez 

 pero ser el 8 y haber salir a aplaudir a tu ventana 
 yo dar gana de llorar 
 al ver yo desde lejos tanto unido , empujar al mismo sitio 
 solo quedar uno poco más 

 volver a juntar yo , volver a brindar 
 uno café quedar pendiente en nuestro bar 
 romper ese metro de distancia entre tú y yo 
 ya no haber uno pantalla entre el dos 

 ahora ser tiempo de pensar y ser paciente 
 confiar más en el gente , ayudar a el demá 
 mientras tanto otro cuidar a el paciente 
 uno puñado de valiente , que hoy tampoco dormir 

 pero ser el 8 y haber salir a aplaudir a tu ventana 
 yo dar gana de llorar 
 al ver yo desde lejos tanto unido , empujar al mismo sitio 
 solo quedar uno poco más 

 volver a juntar yo , volver a brindar 
 uno café quedar pendiente en nuestro bar 
 romper ese metro de distancia entre tú y yo 
 ya no haber uno pantalla entre el dos 

 y después de pasar el cuarentena 
 haber hacer uno puente que unir 
 mi puerta al empezar el primavera 
 Y el tuyo , que el verano yo traer 

 volver a juntar yo , volver a brindar 
 uno café quedar pendiente en nuestro bar 
 romper ese metro de distancia entre tú y yo 
 ya no haber uno pantalla entre el dos"
caleidoscopiohi_sin título.txt	"Mi dulce bestia dormida
apenas reconozco si ríes o lloras,
si la luciérnaga que llevas 
    en la barriga
es querida o hija bastarda. 
En tus dientes bailan 
los verbos más desesperados,
como morir y sonreír. 
"	"mi dulce bestia dormido 
 apenas reconocer si reír o llorar , 
 si el luciérnaga que llevar 
     en el barriga 
 ser querido o hija bastardo . 
 en tu diente bailar 
 el verbo más desesperado , 
 como morir y sonreír . 
"
camela_cuando zarpa el amor.txt	"Estaremos mejor, si desde casa sales solo al balcón
 para aplaudir y respetarnos con amor 
 toma medidas, toma precaución
 si te vas a la farmacia, a la compra o algo superior
 tú cúmplelo y estaremos mejor""."	"estar mejor , si desde casa salir solo al balcón 
  para aplaudir y respetar yo con amor  
  tomar medida , tomar precaución 
  si tú ir a el farmacia , a el compra o algo superior 
  tú cump él él y estar mejor "" ."
sara-bueno_sin-titulo3.txt	"La distancia se
mide en
ganas.
"	"el distancia él 
 medir en 
 gana . 
"
mariola-león_sombra y brillar.txt	"silencioso llega, vacío su paso
leve latido y triste son
como el invierno frío, incierto
suspira de amargura mi corazón.
Dónde quedaron los días alegres
de salidas bajo el sol?
Terminará el desierto
y volverá su esplendor?
"	"silencioso llegar , vacío su paso 
 leve latido y triste ser 
 como el invierno frío , incierto 
 suspirar de amargura mi corazón . 
 dónde quedar el día alegre 
 de salida bajo el sol ? 
 terminar el desierto 
 y volver su esplendor ? 
"
manuel vilas_la espera.txt	"Ahora ya sabemos que la vida es comer con un amigo en una terraza, ir de librerías, tomar el sol, ver una película en un cine, perderte por una calle desconocida, coger un tren.
Por eso, cuando la vida regrese, le pediremos menos cosas.
Y me acuerdo ahora de los restaurantes llenos, de las bodas, de las fiestas, de los viajes en autobús, en avión, en el metro.
Nostalgia de las rebajas de todas las tiendas y mercadillos de España, mi gran país, mi pobre país torturado y humillado.
Cuando esto termine, yo creo que jamás volveremos a dar un beso protocolario. Todos los besos se volverán besos poderosos, fuertes, grandes, sexis y salvajes.
Cuando regrese la vida, me verá guapo y elegante, como siempre.
Cuando ella vuelva, porque volverá, me encontrará bien dispuesto y a la orden."	"ahora ya saber que el vida ser comer con uno amigo en uno terraza , ir de librería , tomar el sol , ver uno película en uno cine , perder tú por uno calle desconocido , coger uno tren . 
 por ese , cuando el vida regresar , él pedir menos cosa . 
 y yo acordar ahora de el restaurante lleno , de el boda , de el fiesta , de el viaje en autobús , en avión , en el metro . 
 nostalgia de el rebaja de todo el tienda y mercadillo de España , mi gran país , mi pobre país torturado y humillado . 
 cuando este terminar , yo creer que jamás volver a dar uno beso protocolario . todo el beso él volver beso poderoso , fuerte , grande , sexi y salvaje . 
 cuando regresar el vida , yo ver guapo y elegante , como siempre . 
 cuando él volver , porque volver , yo encontrar bien dispuesto y a el orden ."
pedro-luis-geney_sin título.txt	"Trazas el paisaje...
Luz Andrea Castillo 
Trazas el paisaje
henchida haces la faz
pero la noche
la que te hace ilegible
sin una extremidad
sin agua en qué llorar
pero la noche
la que te coge las manos
y te borra
"	"trazar el paisaje ... 
 Luz Andrea Castillo 
 trazar el paisaje 
 henchido hacer el faz 
 pero el noche 
 el que tú hacer ilegible 
 sin uno extremidad 
 sin agua en qué llorar 
 pero el noche 
 el que tú coger el mano 
 y tú borrar 
"
